"Category","Targets, governance and climate data (x)","Targets, governance and climate data (y)","Market-based instruments (x)","Market-based instruments (y)","Non market-based instruments (x)","Non market-based instruments (y)"
"1990","1990-01-01 00:00:00",100,"1990-01-01 00:00:00",0,"1990-01-01 00:00:00",0
"1991","1991-01-01 00:00:00",100,"1991-01-01 00:00:00",0,"1991-01-01 00:00:00",0
"1992","1992-01-01 00:00:00",100,"1992-01-01 00:00:00",0,"1992-01-01 00:00:00",0
"1993","1993-01-01 00:00:00",100,"1993-01-01 00:00:00",0,"1993-01-01 00:00:00",0
"1994","1994-01-01 00:00:00",100,"1994-01-01 00:00:00",0,"1994-01-01 00:00:00",0
"1995","1995-01-01 00:00:00",66.667,"1995-01-01 00:00:00",0,"1995-01-01 00:00:00",33.333
"1996","1996-01-01 00:00:00",50,"1996-01-01 00:00:00",0,"1996-01-01 00:00:00",50
"1997","1997-01-01 00:00:00",50,"1997-01-01 00:00:00",0,"1997-01-01 00:00:00",50
"1998","1998-01-01 00:00:00",50,"1998-01-01 00:00:00",0,"1998-01-01 00:00:00",50
"1999","1999-01-01 00:00:00",40,"1999-01-01 00:00:00",0,"1999-01-01 00:00:00",60
"2000","2000-01-01 00:00:00",40,"2000-01-01 00:00:00",0,"2000-01-01 00:00:00",60
"2001","2001-01-01 00:00:00",40,"2001-01-01 00:00:00",0,"2001-01-01 00:00:00",60
"2002","2002-01-01 00:00:00",40,"2002-01-01 00:00:00",0,"2002-01-01 00:00:00",60
"2003","2003-01-01 00:00:00",40,"2003-01-01 00:00:00",0,"2003-01-01 00:00:00",60
"2004","2004-01-01 00:00:00",40,"2004-01-01 00:00:00",0,"2004-01-01 00:00:00",60
"2005","2005-01-01 00:00:00",28.571,"2005-01-01 00:00:00",28.571,"2005-01-01 00:00:00",42.857
"2006","2006-01-01 00:00:00",28.571,"2006-01-01 00:00:00",28.571,"2006-01-01 00:00:00",42.857
"2007","2007-01-01 00:00:00",28.571,"2007-01-01 00:00:00",28.571,"2007-01-01 00:00:00",42.857
"2008","2008-01-01 00:00:00",28.571,"2008-01-01 00:00:00",28.571,"2008-01-01 00:00:00",42.857
"2009","2009-01-01 00:00:00",25,"2009-01-01 00:00:00",25,"2009-01-01 00:00:00",50
"2010","2010-01-01 00:00:00",25,"2010-01-01 00:00:00",25,"2010-01-01 00:00:00",50
"2011","2011-01-01 00:00:00",22.222,"2011-01-01 00:00:00",22.222,"2011-01-01 00:00:00",55.556
"2012","2012-01-01 00:00:00",30,"2012-01-01 00:00:00",20,"2012-01-01 00:00:00",50
"2013","2013-01-01 00:00:00",27.273,"2013-01-01 00:00:00",27.273,"2013-01-01 00:00:00",45.455
"2014","2014-01-01 00:00:00",17.647,"2014-01-01 00:00:00",52.941,"2014-01-01 00:00:00",29.412
"2015","2015-01-01 00:00:00",17.647,"2015-01-01 00:00:00",52.941,"2015-01-01 00:00:00",29.412
"2016","2016-01-01 00:00:00",26.316,"2016-01-01 00:00:00",47.368,"2016-01-01 00:00:00",26.316
"2017","2017-01-01 00:00:00",26.316,"2017-01-01 00:00:00",47.368,"2017-01-01 00:00:00",26.316
"2018","2018-01-01 00:00:00",30,"2018-01-01 00:00:00",45,"2018-01-01 00:00:00",25
"2019","2019-01-01 00:00:00",30,"2019-01-01 00:00:00",45,"2019-01-01 00:00:00",25
"2020","2020-01-01 00:00:00",30,"2020-01-01 00:00:00",45,"2020-01-01 00:00:00",25
"2021","2021-01-01 00:00:00",30.435,"2021-01-01 00:00:00",39.13,"2021-01-01 00:00:00",30.435
"2022","2022-01-01 00:00:00",30.435,"2022-01-01 00:00:00",39.13,"2022-01-01 00:00:00",30.435